2025-03-17 00:58:36.243 | INFO     | __main__:start_market_scanner:139 - Starting market scanner with 1 symbols on 6 timeframes
2025-03-17 00:58:36.243 | INFO     | __main__:start_market_scanner:140 - Symbols: AAPL
2025-03-17 00:58:36.243 | INFO     | __main__:start_market_scanner:141 - Timeframes: 1D, 4H, 1H, 30m, 15m, 5m
2025-03-17 00:58:36.243 | INFO     | __main__:start_market_scanner:142 - Scan interval: 3 minutes
2025-03-17 00:58:36.244 | INFO     | __main__:start_market_scanner:144 - Maximum scans: 1
2025-03-17 00:58:36.244 | INFO     | __main__:run_scanner_job:88 - Running scanner at 2025-03-17 00:58:36
2025-03-17 00:58:36.244 | INFO     | ibkr_single_scan:run_single_scan:97 - Running single scan for 1 symbols on 6 timeframes
2025-03-17 00:58:36.608 | INFO     | trading_agents.utils.ibkr_connector:get_ib_connection:72 - Connected to IBKR at 127.0.0.1:7496
2025-03-17 00:58:36.608 | INFO     | ibkr_single_scan:run_single_scan:103 - Successfully connected to IBKR
2025-03-17 00:58:36.608 | INFO     | sweep_engulfer_agent:__init__:49 - Initialized SweepEngulferPattern with lookback=50, engulfing_threshold=0.0, volume_increase_threshold=1.5, sweep_threshold_pips=5, min_candle_size_atr=0.5
2025-03-17 00:58:36.608 | INFO     | non_prefect_setup_scanner:__init__:60 - Initialized SimpleScanner with lookback=50, min_volume=10000, price_rejection=0.005, fvg_threshold=0.003, min_touches=2
2025-03-17 00:58:36.608 | INFO     | ibkr_single_scan:run_single_scan:125 - Processing AAPL on 1D timeframe
2025-03-17 00:58:36.608 | INFO     | ibkr_single_scan:fetch_market_data:49 - Fetching data for AAPL on 1D timeframe using IBKR
2025-03-17 00:58:36.702 | INFO     | trading_agents.utils.ibkr_connector:fetch_historical_data:212 - Fetched 5 1D data points for AAPL from IBKR
2025-03-17 00:58:36.702 | INFO     | ibkr_single_scan:fetch_market_data:56 - Fetched 5 data points for AAPL from IBKR
